system:index,chirps,date,latitude,longitude,.geo
20250101,0.0,2025-01-01,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102,0.0,2025-01-02,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103,0.0,2025-01-03,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104,0.0,2025-01-04,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105,0.0,2025-01-05,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106,0.0,2025-01-06,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107,0.0,2025-01-07,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108,0.0,2025-01-08,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109,0.0,2025-01-09,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110,0.0,2025-01-10,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111,0.0,2025-01-11,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112,0.0,2025-01-12,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113,0.0,2025-01-13,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114,0.0,2025-01-14,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115,0.0,2025-01-15,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116,0.0,2025-01-16,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117,0.0,2025-01-17,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118,0.0,2025-01-18,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119,0.0,2025-01-19,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120,0.0,2025-01-20,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121,1.6021739925657,2025-01-21,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250122,0.0,2025-01-22,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123,0.09830160226140704,2025-01-23,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250124,0.11317971135888781,2025-01-24,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250125,0.0,2025-01-25,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250126,0.0,2025-01-26,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250127,0.0,2025-01-27,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250128,0.0,2025-01-28,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250129,0.0,2025-01-29,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250130,0.0,2025-01-30,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250131,0.0,2025-01-31,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250201,0.0,2025-02-01,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250202,0.0,2025-02-02,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250203,0.0,2025-02-03,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250204,0.0,2025-02-04,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250205,0.0,2025-02-05,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250206,0.0,2025-02-06,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250207,0.09265187808445521,2025-02-07,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250208,0.07161969478641238,2025-02-08,25.980104975139426,72.05731970851573,"{""type"":""MultiPoint"",""coordinates"":[]}"
